19,Melocotones,25505,19,30351,123456789
20,Manzanas,18108,19,21549,134053251
21,Platanos,29681,19,35320,214451136
22,Lechuga,29788,19,35448,214451136
23,Tomates,12739,19,15159,123456789
24,Calabaza,21315,19,25365,134053251
25,Apio,19249,19,22906,123456789
26,Pepino,10958,19,13040,214451136
27,Champiñones,11046,19,13145,123456789
28,Leche,21150,19,25169,123456789
29,Queso,26571,19,31619,134053251
30,Huevos,12445,19,14810,214451136
31,Requeson,14329,19,17052,214451136
32,Crema agria,14856,19,17679,134053251
33,Yogur,14941,19,17780,123456789
34,Ternera,29335,19,34909,134053251
35,Salmon salvaje,11878,19,14135,134053251
36,Patas de cangrejo,29951,19,35642,123456789